2025-06-24 22:51:47.659 | INFO     | __main__:performance_middleware:72 - 处理请求 #1: GET http://127.0.0.1:8000/
2025-06-24 22:51:47.660 | INFO     | __main__:performance_middleware:91 - 请求 #1 完成，耗时: 0.001秒
2025-06-24 22:51:47.697 | INFO     | __main__:performance_middleware:72 - 处理请求 #2: GET http://127.0.0.1:8000/workspace/meetspot_finder.html
2025-06-24 22:51:47.767 | INFO     | __main__:performance_middleware:91 - 请求 #2 完成，耗时: 0.070秒
2025-06-24 22:51:50.969 | INFO     | __main__:performance_middleware:72 - 处理请求 #3: GET http://127.0.0.1:8000/?id=ffad49ff-cb08-42fe-a773-4cd8ae398bf6&vscodeBrowserReqId=1750776710966
2025-06-24 22:51:50.970 | INFO     | __main__:performance_middleware:91 - 请求 #3 完成，耗时: 0.001秒
2025-06-24 22:52:14.050 | INFO     | __main__:performance_middleware:72 - 处理请求 #4: POST http://127.0.0.1:8000/api/recommend
2025-06-24 22:52:14.050 | INFO     | __main__:performance_middleware:91 - 请求 #4 完成，耗时: 0.001秒
2025-06-24 22:52:29.227 | INFO     | __main__:performance_middleware:72 - 处理请求 #5: POST http://127.0.0.1:8000/api/find_meetspot
2025-06-24 22:52:29.228 | INFO     | __main__:find_meetspot:314 - [req_1750776749228] API请求开始: locations=['?????', '????'], keywords=??? ??
2025-06-24 22:52:29.420 | ERROR    | app.tool.meetspot_recommender:_geocode:307 - 地理编码失败: ENGINE_RESPONSE_DATA_ERROR, 地址: ?????
2025-06-24 22:52:29.420 | WARNING  | __main__:find_meetspot:354 - [req_1750776749228] 无法生成HTML页面
2025-06-24 22:52:29.421 | INFO     | __main__:performance_middleware:91 - 请求 #5 完成，耗时: 0.194秒
2025-06-24 22:52:43.691 | INFO     | __main__:performance_middleware:72 - 处理请求 #6: POST http://127.0.0.1:8000/api/find_meetspot
2025-06-24 22:52:43.691 | INFO     | __main__:find_meetspot:314 - [req_1750776763691] API请求开始: locations=['Beijing Tiananmen', 'Beijing Xidan'], keywords=cafe restaurant
2025-06-24 22:52:43.814 | INFO     | app.tool.meetspot_recommender:execute:232 - 多场景搜索: ['cafe', 'restaurant']
2025-06-24 22:52:43.814 | INFO     | app.tool.meetspot_recommender:execute:236 - 搜索场景: 'cafe'
2025-06-24 22:52:44.029 | INFO     | app.tool.meetspot_recommender:execute:248 - 'cafe' 找到 20 个结果
2025-06-24 22:52:44.029 | INFO     | app.tool.meetspot_recommender:execute:236 - 搜索场景: 'restaurant'
2025-06-24 22:52:44.195 | INFO     | app.tool.meetspot_recommender:execute:248 - 'restaurant' 找到 5 个结果
2025-06-24 22:52:44.195 | INFO     | app.tool.meetspot_recommender:execute:258 - 多场景搜索完成，去重后共 25 个结果
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 无韵诗咖啡(北京音乐厅店) 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 漫咖啡MAAN COFFEE(西单钟声胡同店) 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 Manner Coffee 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 luckin coffee 瑞幸咖啡(北京昌盛店) 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 北京图书大厦·咖啡厅 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 麦咖啡 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 星巴克臻选(北京西单汉光百货商场店) 匹配场景 'cafe'，获得奖励分数
2025-06-24 22:52:44.196 | DEBUG    | app.tool.meetspot_recommender:_rank_places:394 - 场所 库迪咖啡(北京西单明珠店) 匹配场景 'cafe'，获得奖励分数
