2025-06-25 10:46:17.771 | INFO     | __main__:performance_middleware:73 - 处理请求 #1: GET http://127.0.0.1:8000/
2025-06-25 10:46:17.772 | INFO     | __main__:performance_middleware:92 - 请求 #1 完成，耗时: 0.001秒
2025-06-25 10:46:33.278 | INFO     | __main__:performance_middleware:73 - 处理请求 #2: POST http://127.0.0.1:8000/api/find_meetspot
2025-06-25 10:46:33.280 | INFO     | __main__:find_meetspot:315 - [req_1750819593280] API请求开始: locations=['北京大学', '清华大学'], keywords=KTV 购物中心 酒吧
2025-06-25 10:46:33.653 | INFO     | app.tool.meetspot_recommender:execute:320 - 多场景并发搜索: ['KTV', '购物中心', '酒吧']
2025-06-25 10:46:33.654 | INFO     | app.tool.meetspot_recommender:search_keyword:324 - 开始搜索场景: 'KTV'
2025-06-25 10:46:33.656 | INFO     | app.tool.meetspot_recommender:search_keyword:324 - 开始搜索场景: '购物中心'
2025-06-25 10:46:33.656 | INFO     | app.tool.meetspot_recommender:search_keyword:324 - 开始搜索场景: '酒吧'
2025-06-25 10:46:33.807 | INFO     | app.tool.meetspot_recommender:search_keyword:335 - 'KTV' 找到 20 个结果
2025-06-25 10:46:33.831 | INFO     | app.tool.meetspot_recommender:search_keyword:335 - '购物中心' 找到 4 个结果
2025-06-25 10:46:33.834 | INFO     | app.tool.meetspot_recommender:search_keyword:335 - '酒吧' 找到 20 个结果
2025-06-25 10:46:33.835 | INFO     | app.tool.meetspot_recommender:execute:366 - 多场景搜索完成，去重后共 44 个结果
2025-06-25 10:46:33.835 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 赛乐堡量贩KTV(五道口店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 来音客KTV 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 唱吧麦颂KTV(五道口店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 酷秀KTV(中关村店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 酷秀KTV(五道口店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 友唱全民K歌(领展购物广场·中关村店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 星聚会ktv(中关村领展店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 华丽会娱乐 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 桃屋量贩KTV 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 聚宝轰趴馆·KTV棋牌·团建聚会(中关村店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 相遇轰趴·桌游·团建·KTV 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 唱吧麦颂KTV(汉华世纪大厦店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 唱吧麦颂KTV(上地华联店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 唱吧麦颂KTV(北京万柳华联店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 酷秀KTV(万柳店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.836 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 上地之城公馆 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:46:33.840 | DEBUG    | app.tool.meetspot_recommender:_rank_places:503 - 场所 魅KTV(上地店) 匹配场景 'KTV'，获得奖励分数
