2025-06-25 10:35:14.574 | INFO     | __main__:performance_middleware:73 - 处理请求 #1: GET http://127.0.0.1:8000/
2025-06-25 10:35:14.576 | INFO     | __main__:performance_middleware:92 - 请求 #1 完成，耗时: 0.001秒
2025-06-25 10:35:31.022 | INFO     | __main__:performance_middleware:73 - 处理请求 #2: POST http://127.0.0.1:8000/api/find_meetspot
2025-06-25 10:35:31.024 | INFO     | __main__:find_meetspot:315 - [req_1750818931024] API请求开始: locations=['北京大学', '清华大学'], keywords=KTV
2025-06-25 10:35:31.558 | INFO     | __main__:find_meetspot:371 - [req_1750818931024] API请求完成，耗时: 0.53秒
2025-06-25 10:35:31.559 | INFO     | __main__:performance_middleware:92 - 请求 #2 完成，耗时: 0.537秒
2025-06-25 10:35:31.596 | INFO     | __main__:performance_middleware:73 - 处理请求 #3: GET http://127.0.0.1:8000/workspace/js_src/place_recommendation_20250625103531_2f52c873.html
2025-06-25 10:35:31.726 | INFO     | __main__:performance_middleware:92 - 请求 #3 完成，耗时: 0.131秒
2025-06-25 10:35:39.301 | INFO     | __main__:performance_middleware:73 - 处理请求 #4: POST http://127.0.0.1:8000/api/find_meetspot
2025-06-25 10:35:39.302 | INFO     | __main__:find_meetspot:315 - [req_1750818939302] API请求开始: locations=['北京大学', '清华大学'], keywords=KTV 博物馆
2025-06-25 10:36:00.498 | INFO     | app.tool.meetspot_recommender:execute:322 - 多场景搜索: ['KTV', '博物馆']
2025-06-25 10:36:00.498 | INFO     | app.tool.meetspot_recommender:execute:326 - 搜索场景: 'KTV'
2025-06-25 10:36:00.655 | INFO     | app.tool.meetspot_recommender:execute:338 - 'KTV' 找到 20 个结果
2025-06-25 10:36:00.656 | INFO     | app.tool.meetspot_recommender:execute:326 - 搜索场景: '博物馆'
2025-06-25 10:36:00.806 | INFO     | app.tool.meetspot_recommender:execute:338 - '博物馆' 找到 17 个结果
2025-06-25 10:36:00.807 | INFO     | app.tool.meetspot_recommender:execute:348 - 多场景搜索完成，去重后共 37 个结果
2025-06-25 10:36:00.807 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 赛乐堡量贩KTV(五道口店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.807 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 来音客KTV 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 唱吧麦颂KTV(五道口店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 酷秀KTV(中关村店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 酷秀KTV(五道口店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 友唱全民K歌(领展购物广场·中关村店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 星聚会ktv(中关村领展店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 华丽会娱乐 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 桃屋量贩KTV 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 聚宝轰趴馆·KTV棋牌·团建聚会(中关村店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 相遇轰趴·桌游·团建·KTV 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 唱吧麦颂KTV(汉华世纪大厦店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 唱吧麦颂KTV(上地华联店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 唱吧麦颂KTV(北京万柳华联店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 酷秀KTV(万柳店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 上地之城公馆 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 魅KTV(上地店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 唱吧麦颂KTV(四通桥店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 今夜港 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 M-ONE KTV(清河万象汇店) 匹配场景 'KTV'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 清华大学科学博物馆 匹配场景 '博物馆'，获得奖励分数
2025-06-25 10:36:00.808 | DEBUG    | app.tool.meetspot_recommender:_rank_places:485 - 场所 北京大学赛克勒考古与艺术博物馆 匹配场景 '博物馆'，获得奖励分数
